bbi,"North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)",3.58,1,Elite Force Aviator,NULL,NULL,NULL,Air Force,NULL,"Walker ""Bud"" Mahurin",2003,NULL,NULL,NULL,NULL,NULL,"('North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)', @OneSixthFigureType, NULL, 2003, NULL),"
bbi,"North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)",NULL,1,Elite Force Aviator,NULL,NULL,NULL,Air Force,NULL,"Walker ""Bud"" Mahurin",2003,NULL,NULL,NULL,NULL,NULL,"('North American F86 Sabre Pilot (Korean War), Col Walker ""Bud"" Mahurin (51st FIW)', @OneSixthFigureType, NULL, 2003, NULL),"
Dreams and Visions,Sgt. Rock Boxed Set - Combat uniform,3.03,1,G.I. Joe,D.C. Comics,NULL,NULL,Comics,Army,NULL,2000,NULL,NULL,NULL,"Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""",NULL,"('Sgt. Rock Boxed Set - Combat uniform', @OneSixthFigureType, 'Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""', 2000, NULL),"
Dreams and Visions,Sgt. Rock Boxed Set - Combat uniform,3.03,1,G.I. Joe,D.C. Comics,NULL,NULL,Comics,Army,NULL,2000,NULL,NULL,NULL,"Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""; EM uniform set on 2nd custom figure with Bryan Pagan head",NULL,"('Sgt. Rock Boxed Set - Combat uniform', @OneSixthFigureType, 'Comes with carded sets ""Winter Combat"" and ""U.S. Army EM Uniform""; EM uniform set on 2nd custom figure with Bryan Pagan head', 2000, NULL),"
Hasbro,Talking Action Sailor,3.08,1,G.I. Joe,Timeless Collection,Action Sailor,NULL,Navy,NULL,NULL,2002,NULL,NULL,NULL,Diecast acessories;,NULL,"('Talking Action Sailor', @OneSixthFigureType, 'Diecast acessories;', 2002, NULL),"
Hasbro,Talking Action Sailor,NULL,1,G.I. Joe,Timeless Collection,Action Sailor,NULL,Navy,NULL,NULL,2002,NULL,NULL,NULL,Diecast acessories;,NULL,"('Talking Action Sailor', @OneSixthFigureType, 'Diecast acessories;', 2002, NULL),"
Hot Toys,The Dark Knight: The Joker - Gotham City Police (DX01),3.22,1,Movie Masterpiece Series,NULL,NULL,NULL,TV/Film,Comics,Heath Ledger,2009,Urban Collector,NULL,NULL,"2 of 2, Cop outfit; Extra uniform placed on a Hot Toys Tru-type figure with narrow shoulders",NULL,"('The Dark Knight: The Joker - Gotham City Police (DX01)', @OneSixthFigureType, '2 of 2, Cop outfit; Extra uniform placed on a Hot Toys Tru-type figure with narrow shoulders', 2009, NULL),"
Hot Toys,The Dark Knight: The Joker - Gotham City Police (DX01),3.71,1,Movie Masterpiece Series,NULL,NULL,NULL,TV/Film,Comics,Heath Ledger,2009,Urban Collector,159.99,NULL,"1 of 2, Joker outfit",NULL,"('The Dark Knight: The Joker - Gotham City Police (DX01)', @OneSixthFigureType, '1 of 2, Joker outfit', 2009, 159.99),"
bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",3.19,1,Elite Force,NULL,NULL,NULL,Air Force,NULL,NULL,2002,Small Blue Planet,39.99,NULL,Accessories are delicate;,NULL,"('U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson', @OneSixthFigureType, 'Accessories are delicate;', 2002, 39.99),"
bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",3.7,1,Elite Force,NULL,NULL,NULL,Air Force,NULL,NULL,2002,Small Blue Planet,39.99,NULL,Accessories are delicate;,NULL,"('U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson', @OneSixthFigureType, 'Accessories are delicate;', 2002, 39.99),"
